token,display,category
RMD_Intermetamorphosis,RMD Intermetamorphosis,RMD
RMD_Kleine-Levin,RMD Kleine-Levin,RMD
RMD_Kleptomania,RMD Kleptomania,RMD
RMD_Landau-Kleffner,RMD Landau-Kleffner,RMD
RMD_Narcissistic Personality,RMD Narcissistic Personality,RMD
RMD_Olfactory Reference,RMD Olfactory Reference,RMD
RMD_Othello,RMD Othello,RMD
RMD_Palilalia,RMD Palilalia,RMD
RMD_Paramnesia,RMD Paramnesia,RMD
RMD_Postpartum Psychosis,RMD Postpartum Psychosis,RMD
RMD_Psychogenic Amnesia,RMD Psychogenic Amnesia,RMD
RMD_Pyromania,RMD Pyromania,RMD
RMD_Reactive Attachment,RMD Reactive Attachment,RMD
RMD_Reduplicative Paramnesia,RMD Reduplicative Paramnesia,RMD
RMD_Rumination,RMD Rumination,RMD
RMD_Savant,RMD Savant,RMD
RMD_Schizoaffective,RMD Schizoaffective,RMD
RMD_Schizotypal Personality,RMD Schizotypal Personality,RMD
RMD_Selective Mutism,RMD Selective Mutism,RMD
RMD_Stendhal,RMD Stendhal,RMD
RMD_Walking Corpse,RMD Walking Corpse,RMD
RMD_koro,RMD koro,RMD
