rmd_name,pt_name,brgi_score,brgi_norm,spillover_value,spillover_value_norm,final_priority_score,priority_label,interpretation,evidence_tier,claim_strength,transferability_note
RMD_Selective Mutism,PT_Deep Brain Stimulation,0.5865678472368315,0.8663587210195277,0.0,0.0,0.8663587210195277,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Transcranial Direct Current Stimulation,0.5841054993934819,0.8627218416059715,0.0,0.0,0.8627218416059715,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Schizotypal Personality Disorder,PT_Cultural Psychiatry Interventions,0.5837583180504281,0.8622090559397492,0.0,0.0,0.8622090559397492,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Dietary Interventions And Supplements,0.5814391296616807,0.8587836225551141,0.0,0.0,0.8587836225551141,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Electroencephalography,0.5650023717249031,0.834506586827882,0.0,0.0,0.834506586827882,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hallucinogen Persisting Perception Disorder,PT_Neurofeedback Systems,0.5616302427557448,0.829525963777036,0.0,0.0,0.829525963777036,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Body Integrity Dysphoria,PT_Reality Testing Techniques,0.560256471746094,0.8274969086549366,0.0,0.0,0.8274969086549366,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Body Integrity Dysphoria,PT_Sleep Pattern Monitoring And Manipulation,0.5513151269527878,0.8142905727198615,0.0,0.0,0.8142905727198615,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Speech Language Therapy,0.5498438777692886,0.8121175426655858,0.0,0.0,0.8121175426655858,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Brain Computer Interface,0.5485575500890758,0.8102176410445016,0.0,0.0,0.8102176410445016,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Immunotherapy For Neuropsychiatric Disorders,0.5430009089528511,0.802010500931688,0.0,0.0,0.802010500931688,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hallucinogen Persisting Perception Disorder,PT_Anticonvulsant Therapy,0.5420440891369029,0.8005972813085941,0.0,0.0,0.8005972813085941,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Childhood Disintegrative Disorder,PT_Cognitive Assistive Technologies,0.5409692699621133,0.799009777032687,0.0,0.0,0.799009777032687,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Cognitive Behavioral Therapy,0.5398042015107449,0.7972889748813545,0.0,0.0,0.7972889748813545,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Factitious Disorder,PT_Art Therapy,0.539185616456763,0.796375326854559,0.0,0.0,0.796375326854559,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Capgras Syndrome,PT_Reality Testing Techniques,0.5361686587282307,0.7919192905215517,0.0,0.0,0.7919192905215517,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Selective Mutism,PT_Transcranial Magnetic Stimulation,0.5357896341432969,0.7913594724950693,0.0,0.0,0.7913594724950693,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Body Integrity Dysphoria,PT_Neuroplasticity Techniques,0.5349255502466945,0.7900832235103346,0.0,0.0,0.7900832235103346,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Schizotypal Personality Disorder,PT_Neurofeedback Systems,0.5342439695539379,0.7890765311387191,0.0,0.0,0.7890765311387191,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Landau Kleffner Syndrome,PT_Cognitive Assistive Technologies,0.5315957191999225,0.7851650743473995,0.0,0.0,0.7851650743473995,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hyperthymesia,PT_Augmentative Communication Devices,0.5277711330116324,0.7795161735184077,0.0,0.0,0.7795161735184077,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Psychoeducation Programs,0.5152216585285166,0.760980642268483,0.0,0.0,0.760980642268483,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Dissociative Amnesia,PT_Reality Testing Techniques,0.5142579860014942,0.7595573012143735,0.0,0.0,0.7595573012143735,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Psilocybin Assisted Therapy,0.5142072282723525,0.7594823322205765,0.0,0.0,0.7594823322205765,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Anorexia Nervosa,PT_Augmentative Communication Devices,0.5097923033637496,0.752961503103821,0.0,0.0,0.752961503103821,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Chronic Traumatic Encephalopathy,PT_Psychoeducation Programs,0.5069209938381285,0.7487205886725465,0.0,0.0,0.7487205886725465,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ekbom Syndrome,PT_Vocal And Speech Biomarkers,0.5043903847813893,0.7449828876783224,0.0,0.0,0.7449828876783224,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Stem Cell Therapy For Neurological Disorders,0.501403415789439,0.7405711446075397,0.0,0.0,0.7405711446075397,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ekbom Syndrome,PT_Memory Retrieval Techniques,0.5011099897818672,0.7401377553895127,0.0,0.0,0.7401377553895127,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Speech Language Therapy,0.4956134524415643,0.732019388379433,0.0,0.0,0.732019388379433,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ekbom Syndrome,PT_Secure Data Storage For Patient Records,0.4921035016855892,0.7268352030168823,0.0,0.0,0.7268352030168823,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Psychoeducation Programs,0.4902674463423742,0.7241233555019493,0.0,0.0,0.7241233555019493,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Factitious Disorder,PT_Speech Language Therapy,0.4895840797432103,0.7231140253526271,0.0,0.0,0.7231140253526271,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ganser Syndrome,PT_Psilocybin Assisted Therapy,0.4880718353893547,0.7208804455707706,0.0,0.0,0.7208804455707706,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Transcranial Direct Current Stimulation,0.4648897904343305,0.6866406437942799,0.0,0.0,0.6866406437942799,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Othello Syndrome,PT_Sleep Pattern Monitoring And Manipulation,0.4629881168189255,0.683831878313867,0.0,0.0,0.683831878313867,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Neuromodulation Techniques,0.453981189926174,0.6705286778403335,0.0,0.0,0.6705286778403335,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Boanthropy,PT_Cultural Psychiatry Interventions,0.453067972193978,0.6691798583470648,0.0,0.0,0.6691798583470648,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hallucinogen Persisting Perception Disorder,PT_Emotion Regulation Training,0.4495869822770235,0.6640384480455266,0.0,0.0,0.6640384480455266,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Rumination Disorder,PT_Meditation And Relaxation Techniques,0.4485175257506333,0.6624588643831182,0.0,0.0,0.6624588643831182,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Digital Health Tools,0.4471611907097964,0.6604555621278225,0.0,0.0,0.6604555621278225,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Childhood Disintegrative Disorder,PT_Psychophysiological Metrics For Treatment Response,0.4443178236266451,0.656255918589309,0.0,0.0,0.656255918589309,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Reactive Attachment Disorder,PT_Transcranial Direct Current Stimulation,0.4426747805827784,0.6538291495859108,0.0,0.0,0.6538291495859108,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Traditional And Alternative Medicine Approaches,0.4423016962249229,0.6532781052546766,0.0,0.0,0.6532781052546766,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Chronic Traumatic Encephalopathy,PT_Emotion Regulation Training,0.4404165292990772,0.6504937200987603,0.0,0.0,0.6504937200987603,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Metaverse,0.4333596407029381,0.6400707195757537,0.0,0.0,0.6400707195757537,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Diogenes Syndrome,PT_Meditation And Relaxation Techniques,0.4314107124949268,0.6371921592223256,0.0,0.0,0.6371921592223256,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Othello Syndrome,PT_Blockchain For Data Protection,0.4281240735559736,0.6323378046561525,0.0,0.0,0.6323378046561525,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Diogenes Syndrome,PT_Anticonvulsant Therapy,0.4270789996861489,0.6307942340947973,0.0,0.0,0.6307942340947973,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Immunotherapy For Neuropsychiatric Disorders,0.4237851999936997,0.6259293031199963,0.0,0.0,0.6259293031199963,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Emotion Regulation Training,0.423762981803323,0.6258964869281631,0.0,0.0,0.6258964869281631,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Impulse Control Disorders,PT_Blockchain For Data Protection,0.4234152085485898,0.6253828270103978,0.0,0.0,0.6253828270103978,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Diogenes Syndrome,PT_Focused Ultrasound Therapy,0.4206814780650496,0.6213451163576764,0.0,0.0,0.6213451163576764,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ganser Syndrome,PT_Deep Brain Stimulation,0.4183336265810554,0.6178773476785729,0.0,0.0,0.6178773476785729,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ganser Syndrome,PT_Transcranial Direct Current Stimulation,0.4158712787377059,0.614240468265017,0.0,0.0,0.614240468265017,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Body Integrity Dysphoria,PT_Focused Ultrasound Therapy,0.4147590159698784,0.6125976599291834,0.0,0.0,0.6125976599291834,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Landau Kleffner Syndrome,PT_Anticonvulsant Therapy,0.4132255375285685,0.6103327174721723,0.0,0.0,0.6103327174721723,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Antipsychotic Medications,0.4130513804006715,0.6100754879849237,0.0,0.0,0.6100754879849237,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Diogenes Syndrome,PT_Stem Cell Therapy For Neurological Disorders,0.4122623268123856,0.6089100585111066,0.0,0.0,0.6089100585111066,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleine Levin Syndrome,PT_Neurobiological Assessments For Mental Disorders,0.4103397036135808,0.6060703505670629,0.0,0.0,0.6060703505670629,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Histrionic Personality Disorder,PT_Lithium Therapy,0.4089983402725363,0.6040891614615841,0.0,0.0,0.6040891614615841,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleine Levin Syndrome,PT_Dietary Interventions And Supplements,0.4038929456750491,0.5965485109560797,0.0,0.0,0.5965485109560797,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Acceptance And Commitment Therapy,0.4012756251893177,0.5926827374753166,0.0,0.0,0.5926827374753166,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hallucinogen Persisting Perception Disorder,PT_Narrative Exposure Therapy,0.4000072259848026,0.5908093161520332,0.0,0.0,0.5908093161520332,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Impulse Control Disorders,PT_Neurobiological Assessments For Mental Disorders,0.3997864613867416,0.5904832475894221,0.0,0.0,0.5904832475894221,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Light Therapy,0.3996590151118306,0.5902950098736134,0.0,0.0,0.5902950098736134,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Narrative Exposure Therapy,0.3991374376972446,0.5895246418012036,0.0,0.0,0.5895246418012036,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Landau Kleffner Syndrome,PT_Privacy Preserving Ai In Digital Mental Health,0.3987712928380344,0.5889838470859332,0.0,0.0,0.5889838470859332,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Narcissistic Personality Disorder,PT_Neuromodulation Techniques,0.3976796712259341,0.587371525667104,0.0,0.0,0.587371525667104,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Brief Psychotic Disorder,PT_Sleep Pattern Monitoring And Manipulation,0.3970496061308211,0.5864409216584926,0.0,0.0,0.5864409216584926,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Reactive Attachment Disorder,PT_Oxytocin Therapy,0.3956148654649596,0.584321814560949,0.0,0.0,0.584321814560949,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Antisocial Personality Disorder,PT_Music Therapy,0.3931475756240846,0.5806776358338086,0.0,0.0,0.5806776358338086,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Kleptomania,PT_Social Skills Training,0.3896135125567667,0.5754578366691816,0.0,0.0,0.5754578366691816,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Ekbom Syndrome,PT_Neurofeedback Systems,0.3856906094740345,0.5696637221205415,0.0,0.0,0.5696637221205415,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Brief Psychotic Disorder,PT_Cognitive Assistive Technologies,0.3852611984403649,0.5690294834801622,0.0,0.0,0.5690294834801622,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Postpartum Psychosis,PT_Mood Stabilizers,0.3817017089122611,0.5637721295191885,0.0,0.0,0.5637721295191885,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
RMD_Hallucinogen Persisting Perception Disorder,PT_Virtual Reality Exposure Therapy,0.3789406445596689,0.5596940468345805,0.0,0.0,0.5596940468345805,Strategic Priority,Large forecasted gap and broad cross-RMD spillover value,Tier 1: Data-driven similarity,Exploratory,CISN estimates spillover potential for prioritization; not proof of clinical efficacy or cross-disorder transferability.
