pt_name,spillover_value,spillover_value_norm,pt_canon,pt_class,class_interpretation
Electroconvulsive Therapy,6.135873325076947,0.9999999996718844,Electroconvulsive Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Emdr Therapy,2.5514555840953275,0.4119484129434715,Emdr Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Machine Learning Neuroimaging,2.522517955212403,0.4072009700363003,Machine Learning Neuroimaging,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Antidepressants,2.222216948715186,0.3579342561296599,Antidepressants,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Motivational Interviewing,2.215112731872707,0.3567687541461945,Motivational Interviewing,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Social Skills Training,2.086624178087172,0.3356892083482399,Social Skills Training,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Antipsychotic Medications,1.9412340318524757,0.3118368249581903,Antipsychotic Medications,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Cbt For Insomnia,1.9201998719323623,0.3083860075562169,Cbt For Insomnia,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Personalized Medicine,1.8916286276174703,0.3036986728847909,Personalized Medicine,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Transcranial Direct Current Stimulation,1.875861089052281,0.301111885645667,Transcranial Direct Current Stimulation,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Mentalization Based Treatment,1.7953066763424803,0.2878963082116034,Mentalization Based Treatment,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Anxiolytic Medications,1.7360299014026417,0.2781714926129703,Anxiolytic Medications,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Transference Focused Psychotherapy,1.6666146501405488,0.2667833811824521,Transference Focused Psychotherapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Digital Phenotyping,1.6032683864270187,0.2563909343244426,Digital Phenotyping,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Music Therapy,1.4332086041076302,0.2284913054144991,Music Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Mindfulness Based Stress Reduction,1.3497798374291512,0.2148041678738177,Mindfulness Based Stress Reduction,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Brain Computer Interface,1.1310437727795437,0.1789188165596306,Brain Computer Interface,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Trauma Focused Cbt,1.1064749925759565,0.174888117230834,Trauma Focused Cbt,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Dialectical Behavior Therapy,1.0615172321607091,0.167512447245253,Dialectical Behavior Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Digital Therapeutics,1.0587660086772843,0.1670610876516502,Digital Therapeutics,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Traditional And Alternative Medicine Approaches,1.0527469474517626,0.166073613880439,Traditional And Alternative Medicine Approaches,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Neuroplasticity Techniques,1.0478005937272556,0.1652621261113209,Neuroplasticity Techniques,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Focused Ultrasound Therapy,1.0198302756773785,0.1606733780637721,Focused Ultrasound Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Deep Brain Stimulation,0.9052952632683952,0.1418830191686574,Deep Brain Stimulation,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Neuromodulation Techniques,0.8830238501161648,0.1382292207586354,Neuromodulation Techniques,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Selective Serotonin Reuptake Inhibitors,0.8343375239414705,0.1302418505836498,Selective Serotonin Reuptake Inhibitors,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Blockchain For Data Protection,0.768415998841788,0.1194269120815853,Blockchain For Data Protection,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Fecal Microbiota Transplant,0.7328060734653572,0.1135848270808689,Fecal Microbiota Transplant,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Resting State Fmri,0.7208009155095788,0.1116152876200784,Resting State Fmri,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Expressive Writing And Journaling,0.7124402078625607,0.1102436485553038,Expressive Writing And Journaling,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Interpersonal Psychotherapy,0.5898670420163191,0.0901345681202573,Interpersonal Psychotherapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Digital Health Tools,0.5873764693512619,0.0897259703190567,Digital Health Tools,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Anticonvulsant Therapy,0.5778276442261366,0.0881594113485378,Anticonvulsant Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Lithium Therapy,0.4869383049549332,0.0732483088941427,Lithium Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Chronic Traumatic Encephalopathy,0.4806348435630275,0.0722141770654189,Chronic Traumatic Encephalopathy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Neurobiological Assessments For Mental Disorders,0.4782712769466662,0.0718264155935351,Neurobiological Assessments For Mental Disorders,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Regenerative Medicine Approaches,0.4742979109007152,0.0711745540146627,Regenerative Medicine Approaches,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Art Therapy,0.4720099419937074,0.0707991949345063,Art Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Acceptance And Commitment Therapy,0.4693880824986075,0.070369058508541,Acceptance And Commitment Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Ketamine Therapy,0.4646766214755783,0.0695961067125702,Ketamine Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Psilocybin Assisted Therapy,0.462012221803312,0.0691589912399395,Psilocybin Assisted Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Secure Data Storage For Patient Records,0.4303117256838472,0.0639582784909774,Secure Data Storage For Patient Records,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Neurofeedback Systems,0.4269333375822717,0.0634040276677539,Neurofeedback Systems,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Meditation And Relaxation Techniques,0.4115339767479187,0.0608776428466687,Meditation And Relaxation Techniques,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Virtual Reality Exposure Therapy,0.4055043383512456,0.0598884338083295,Virtual Reality Exposure Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Sleep Pattern Monitoring And Manipulation,0.404260694077898,0.0596844043002992,Sleep Pattern Monitoring And Manipulation,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Electroencephalography,0.3965544241443226,0.0584201308283808,Electroencephalography,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Augmentative Communication Devices,0.3688386220147261,0.0538731380955259,Augmentative Communication Devices,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Speech Language Therapy,0.3605031806379515,0.0525056441587417,Speech Language Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Occupational Therapy,0.3540510379273358,0.0514471200042059,Occupational Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Stem Cell Therapy For Neurological Disorders,0.3465091663524839,0.0502098173606588,Stem Cell Therapy For Neurological Disorders,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Vocal And Speech Biomarkers,0.2950700148145193,0.0417708247912326,Vocal And Speech Biomarkers,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Schema Therapy,0.2925068459045405,0.0413503170118706,Schema Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Cognitive Assistive Technologies,0.231006110901656,0.0312606434813781,Cognitive Assistive Technologies,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Clozapine Protocol,0.2302490241404801,0.0311364375145037,Clozapine Protocol,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Digital Imaging Technologies For Brain Scanning,0.1763717043205366,0.0222974444901818,Digital Imaging Technologies For Brain Scanning,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Memory Retrieval Techniques,0.122946207338242,0.0135325765137197,Memory Retrieval Techniques,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Voxel Based Lesion Symptom Mapping,0.117581136213691,0.0126523949010601,Voxel Based Lesion Symptom Mapping,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Reality Testing Techniques,0.0597839096183332,0.0031703107066565,Reality Testing Techniques,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
Prolonged Exposure Therapy,0.0404595540722748,0.0,Prolonged Exposure Therapy,Specialist,Concentrated value in a small number of RMDs; best interpreted as targeted intervention potential.
